NUMMER,NAME,PREIS
1,Kleine Körperpflege,"13,31€"
2,Große Körperpflege,"18,95€"
3,Große erweiterte Körperpflege,"24,07€"
4,Spezielle Lagerung,"5,12€"
5,Einfache Hilfe bei der Nahrungsaufnahme,"5,12€"
6,Umfangreiche Hilfe bei der Nahrungsaufnahme,"12,80€"
7,Enterale Ernährung,"7,68€"
8,Hilfestellung bei Aufstehen,"5,12€"
9,Haushaltsführung,"30,72€"
10,Pflegerische Betreuungsleistungen,"5,12€"
11,Pflegefachliche Anleitung,"7,68€"
12,Erstgespräch,"46,08€"
13,Folgegespräch,"15,36€"
14,Beratungseinsatz,"87,40€"
15,Hilfe beim Aufsuchen/Verlassen Bett,"2,05€"
16,Kämmen und/oder Rasieren,"2,56€"
17,Hilfe bei Ausscheidungen,"2,56€"
20,Hausbesuchspauschale,"6,24€"
21,Erhöhte Hausbesuchspauschale,"12,48€"
30,Betreuungsleistung,"104,00€"
31,Rezeptgebühr,"21,00€"
40,Blutdruck messen,"4,18€"
41,Grundpflege,"28,44€"
42,Hauswirtschaft,"24,51€"
43,Blutzucker,"4,71€"
44,Intensivierte Insulintherapie,"7,17€"
45,Dekubitus,"9,20€"
46,HPE,"50,23€"
47,Weiterer Hausbesuch,"8,11€"
48,Injektion subkutan,"6,14€"
49,Dauerkatheder,"10,91€"
50,Medikamentengabe,"4,85€"
51,Einreibung,"4,54€"
52,Augentropfen,"4,62€"
53,Medizinische Plaster,"4,54€"
54,Richten Medikamente,"8,42€"
55,Kompressionsstrümpfe anziehen,"4,00€"
56,Kompressionsstrümpfe ausziehen,"2,00€"
57,Kompressionsverbände,"7,00€"
60,Haustierpflege (Stunde),"22,00€"
61,Fussbad (5 Minuten),"8,50€"
