MONAT,ANZAHL_KUNDEN,BETRAG,UMLAGE,SUMME
08.2020,14,"13770,47 €","619,57 €","14390,04 €"
09.2020,24,"23139,52 €","1041,21 €","24180,73 €"
10.2020,26,"25002,00 €","1124,95 €","26126,95 €"
11.2020,34,"29431,50 €","1324,31 €","30755,81 €"
12.2020,35,"29446,23 €","1324,89 €","30771,12 €"
01.2021,40,"34513,67 €","1553,02 €","36066,69 €"
02.2021,42,"33013,02 €","1485,48 €","34498,50 €"
03.2021,43,"36819,03 €","1656,85 €","38475,88 €"
04.2021,45,"37213,76 €","1674,26 €","38888,02 €"
05.2021,46,"37974,82 €","1708,75 €","39683,57 €"
06.2021,48,"38502,73 €","1732,20 €","40234,93 €"
07.2021,48,"39198,65 €","1764,00 €","40962,65 €"
08.2021,50,"41150,78 €","1851,62 €","43002,40 €"
09.2021,52,"41435,81 €","1864,16 €","43299,97 €"
10.2021,55,"44897,15 €","2020,26 €","46917,41 €"
11.2021,56,"46596,72 €","2096,39 €","48693,11 €"
12.2021,58,"49417,32 €","2223,80 €","51641,12 €"
01.2022,59,"50656,52 €","2278,89 €","52935,41 €"
02.2022,60,"46991,42 €","2114,33 €","49105,75 €"
03.2022,62,"54271,01 €","2441,61 €","56712,62 €"
04.2022,62,"52468,63 €","2360,83 €","54829,46 €"
05.2022,63,"55089,88 €","2478,40 €","57568,28 €"
06.2022,68,"58681,94 €","2640,40 €","61322,34 €"
07.2022,70,"61709,10 €","2776,15 €","64485,25 €"
08.2022,74,"66303,31 €","2982,86 €","69286,17 €"
09.2022,74,"64123,62 €","2885,27 €","67008,89 €"
10.2022,76,"67823,07 €","3051,19 €","70874,26 €"
11.2022,77,"66443,36 €","2989,63 €","69432,99 €"
12.2022,80,"71824,71 €","3231,32 €","75056,03 €"
01.2023,83,"75196,26 €","3383,14 €","78579,40 €"
02.2023,86,"70829,13 €","3187,04 €","74016,17 €"
03.2023,87,"79187,07 €","3562,90 €","82749,97 €"
04.2023,90,"81637,51 €","3673,41 €","85310,92 €"
05.2023,94,"87204,85 €","3923,72 €","91128,57 €"
06.2023,98,"87334,33 €","3930,02 €","91264,35 €"
07.2023,100,"91725,39 €","4126,80 €","95852,19 €"
