MONAT,ANZAHL_KUNDEN,BETRAG,UMLAGE,SUMME
08.2020,14,"12490,47 €","561,97 €","13052,44 €"
09.2020,24,"23637,84 €","1063,56 €","24701,40 €"
10.2020,26,"25084,05 €","1128,63 €","26212,68 €"
11.2020,34,"34741,11 €","1563,17 €","36304,28 €"
12.2020,32,"33179,75 €","1492,92 €","34672,67 €"
01.2021,38,"39110,96 €","1759,85 €","40870,81 €"
02.2021,42,"39649,77 €","1784,10 €","41433,87 €"
03.2021,43,"40455,00 €","1820,33 €","42275,33 €"
04.2021,45,"43189,75 €","1943,39 €","45133,14 €"
05.2021,46,"43967,50 €","1978,39 €","45945,89 €"
06.2021,48,"45550,48 €","2049,62 €","47600,10 €"
07.2021,48,"44422,42 €","1998,87 €","46421,29 €"
08.2021,50,"45977,92 €","2068,87 €","48046,79 €"
09.2021,52,"47313,60 €","2128,98 €","49442,58 €"
10.2021,55,"49729,29 €","2237,67 €","51966,96 €"
11.2021,56,"50410,87 €","2268,34 €","52679,21 €"
12.2021,54,"47603,66 €","2142,03 €","49745,69 €"
01.2022,59,"51744,60 €","2327,89 €","54072,49 €"
02.2022,60,"52531,77 €","2363,30 €","54895,07 €"
03.2022,62,"54032,26 €","2430,81 €","56463,07 €"
04.2022,61,"53355,21 €","2400,35 €","55755,56 €"
05.2022,63,"56172,39 €","2527,10 €","58699,49 €"
06.2022,68,"61111,05 €","2749,30 €","63860,35 €"
07.2022,70,"64030,11 €","2880,62 €","66910,73 €"
08.2022,74,"68347,78 €","3074,88 €","71422,66 €"
09.2022,74,"68347,78 €","3074,88 €","71422,66 €"
10.2022,76,"69978,18 €","3148,22 €","73126,40 €"
11.2022,77,"70793,38 €","3184,89 €","73978,27 €"
12.2022,80,"74259,58 €","3340,84 €","77600,42 €"
01.2023,83,"78254,85 €","3520,78 €","81775,63 €"
02.2023,86,"80565,58 €","3624,74 €","84190,32 €"
03.2023,87,"81254,57 €","3655,74 €","84910,31 €"
04.2023,90,"84773,33 €","3814,06 €","88587,39 €"
05.2023,94,"89250,76 €","4015,50 €","93266,26 €"
06.2023,98,"92221,92 €","4149,18 €","96371,10 €"
07.2023,100,"93789,18 €","4219,70 €","98008,88 €"
