MONAT,ANZAHL_KUNDEN,BETRAG,UMLAGE,SUMME
08.2020,10,"8986,52 €","404,32 €","9390,84 €"
09.2020,20,"16205,66 €","729,15 €","16934,81 €"
10.2020,26,"21831,81 €","982,31 €","22814,12 €"
11.2020,34,"29175,55 €","1312,75 €","30488,30 €"
12.2020,32,"27721,82 €","1247,33 €","28969,15 €"
01.2021,38,"32611,34 €","1467,42 €","34078,76 €"
02.2021,42,"35667,30 €","1604,93 €","37272,23 €"
03.2021,43,"36303,90 €","1633,58 €","37937,48 €"
04.2021,45,"40307,86 €","1813,74 €","42121,60 €"
05.2021,46,"42309,84 €","1903,82 €","44213,66 €"
06.2021,48,"42462,42 €","1910,69 €","44373,11 €"
07.2021,48,"42417,44 €","1908,67 €","44326,11 €"
08.2021,50,"46393,92 €","2087,60 €","48481,52 €"
09.2021,52,"48004,38 €","2160,06 €","50164,44 €"
10.2021,55,"50268,94 €","2261,96 €","52530,90 €"
11.2021,56,"51046,69 €","2296,96 €","53343,65 €"
12.2021,54,"48239,48 €","2170,65 €","50410,13 €"
01.2022,49,"44846,25 €","2017,62 €","46863,87 €"
02.2022,60,"58346,57 €","2625,02 €","60971,59 €"
03.2022,62,"61107,69 €","2749,25 €","63856,94 €"
04.2022,61,"60292,49 €","2712,58 €","63005,07 €"
05.2022,63,"60476,29 €","2720,85 €","63197,14 €"
06.2022,68,"66897,82 €","3009,76 €","69907,58 €"
07.2022,70,"68260,16 €","3071,06 €","71331,22 €"
08.2022,74,"72679,71 €","3269,89 €","75949,60 €"
09.2022,74,"72679,71 €","3269,89 €","75949,60 €"
10.2022,76,"75338,95 €","3389,55 €","78728,50 €"
11.2022,77,"76126,12 €","3424,96 €","79551,08 €"
12.2022,70,"68232,13 €","3069,80 €","71301,93 €"
01.2023,73,"71049,21 €","3196,64 €","74245,85 €"
02.2023,76,"74701,49 €","3360,96 €","78062,45 €"
03.2023,77,"75498,08 €","3396,80 €","78894,88 €"
04.2023,70,"70161,71 €","3156,72 €","73318,43 €"
05.2023,74,"73130,23 €","3290,28 €","76420,51 €"
06.2023,78,"76292,03 €","3432,52 €","79724,55 €"
07.2023,80,"77885,21 €","3504,20 €","81389,41 €"
